Movies,ReleaseYear,Genre,MovieType,Rating,StarsDirectors,Votes,RunTime(mins),Gross($)
Gone Girl,2014,"Drama,Mystery,Thriller",Regular,8.1,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry, David Fincher",895888,149,167770000.0
Jumanji: Welcome to the Jungle,2017,"Action,Adventure,Comedy",Regular,6.9,"Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black, Jake Kasdan",337900,119,404520000.0
American Psycho,2000,"Comedy,Crime,Drama",Regular,7.6,"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage, Mary Harron",517014,101,15070000.0
House of Cards,2013,Drama,Series,8.7,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara",476656,51,70100000.0
Miraculous: Tales of Ladybug & Cat Noir,2015,"Animation,Action,Adventure",Series,7.7,"Cristina Valenzuela, Bryce Papenbrook, Keith Silverstein, Mela Lee",8300,20,70100000.0
Mayor Grom: Chumnoy Doktor,2021,"Action,Adventure",Regular,6.3,"Tikhon Zhiznevskiy, Lyubov Aksyonova, Sergei Goroshko, Aleksey Maklakov, Oleg Trofim",8466,136,70100000.0
Demon Slayer: Kimetsu No Yaiba,2019,"Animation,Action,Fantasy",Series,8.7,"Natsuki Hanae, Zach Aguilar, Abby Trott, Akari Kitô",46259,25,70100000.0
Jane the Virgin,2014,Comedy,Series,7.8,"Gina Rodriguez, Andrea Navedo, Yael Grobglas, Justin Baldoni",41758,60,70100000.0
The Good Wife,2009,"Crime,Drama,Mystery",Series,8.3,"Julianna Margulies, Chris Noth, Josh Charles, Matt Czuchry",70021,43,70100000.0
The Good Place,2016,"Comedy,Drama,Fantasy",Series,8.2,"Kristen Bell, William Jackson Harper, Jameela Jamil, D'Arcy Carden",127417,22,70100000.0
The Americans,2013,"Crime,Drama,Mystery",Series,8.4,"Keri Russell, Matthew Rhys, Keidrich Sellati, Holly Taylor",88962,44,70100000.0
Glee,2009,"Comedy,Drama,Music",Series,6.7,"Lea Michele, Jane Lynch, Matthew Morrison, Cory Monteith",139934,44,70100000.0
Bo Burnham: Inside,2021,"Comedy,Drama,Music",Regular,8.7,"Bo Burnham, Socko, Bo Burnham",31108,87,70100000.0
Kill Bill: Vol. 1,2003,"Action,Crime,Drama",Regular,8.1,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen, Quentin Tarantino",1034554,111,70100000.0
Bartkowiak,2021,"Action,Crime,Sport",Regular,5.0,"Józef Pawlowski, Zofia Domalik, Szymon Bobrowski, Bartlomiej Topa, Daniel Markowicz",398,91,210610000.0
Castlevania,2017,"Animation,Action,Adventure",Series,8.3,"Richard Armitage, James Callis, Alejandra Reynoso, Theo James",51802,23,210610000.0
300,2006,"Action,Drama",Regular,7.6,"Gerard Butler, Lena Headey, David Wenham, Dominic West, Zack Snyder",751815,117,210610000.0
Dawson's Creek,1998,"Drama,Romance",Series,6.6,"James Van Der Beek, Katie Holmes, Michelle Williams, Joshua Jackson",38117,60,327480000.0
It,2017,Horror,Regular,7.3,"Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis, Andy Muschietti",480607,135,327480000.0
Pretty Little Liars,2010,"Drama,Mystery,Romance",Series,7.4,"Troian Bellisario, Ashley Benson, Lucy Hale, Shay Mitchell",155875,44,390530000.0
Star Trek,1966,"Action,Adventure,Sci-Fi",Series,8.3,"William Shatner, Leonard Nimoy, DeForest Kelley, Nichelle Nichols",76213,50,390530000.0
Archer,2009,"Animation,Action,Comedy",Series,8.6,"H. Jon Benjamin, Judy Greer, Amber Nash, Chris Parnell",141784,22,390530000.0
Spider-Man: Far from Home,2019,"Action,Adventure,Sci-Fi",Regular,7.5,"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei, Jon Watts",363012,129,390530000.0
Twin Peaks,1990,"Crime,Drama,Mystery",Series,8.8,"Kyle MacLachlan, Michael Ontkean, Mädchen Amick, Dana Ashbrook",182173,47,303000000.0
The Mitchells vs the Machines,2021,"Animation,Adventure,Comedy",Regular,7.7,"Abbi Jacobson, Danny McBride, Maya Rudolph, Michael Rianda",69482,113,303000000.0
The Bold Type,2017,"Comedy,Drama",Series,7.9,"Katie Stevens, Aisha Dee, Meghann Fahy, Melora Hardin",16183,45,303000000.0
"Love, Death & Robots",2019,"Animation,Short,Comedy",Series,8.5,"Scott Whyte, Nolan North, Steven Pacey, Emily O'Brien",120364,15,303000000.0
Hostage House,2021,Thriller,Regular,3.7,"Jennifer Taylor, Julia Terranova, Emily Sweet, Justin C. Schilling, David Benullo",315,85,303000000.0
The Hobbit: An Unexpected Journey,2012,"Adventure,Fantasy",Regular,7.8,"Martin Freeman, Ian McKellen, Richard Armitage, Andy Serkis, Peter Jackson",774632,169,303000000.0
Clueless,1995,"Comedy,Romance",Regular,6.8,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd, Amy Heckerling",194461,97,56630000.0
Ray Donovan,2013,"Crime,Drama",Series,8.3,"Liev Schreiber, Eddie Marsan, Dash Mihok, Pooch Hall",79618,60,58060000.0
